,z0,z025,z05,z1,z2
4.0841,41.5684,25.8388,17.9593,9.32824,2.64318
4.09983,41.1262,25.5353,17.8304,9.24546,2.63421
4.11555,40.8614,25.3575,17.6432,9.16491,2.61216
4.13124,40.4993,25.1556,17.5436,9.07737,2.58832
4.14693,40.1546,24.895,17.3925,9.0101,2.57647
4.16266,39.7281,24.577,17.2107,8.92202,2.54549
4.17839,39.415,24.4496,16.973,8.85009,2.53496
4.19408,38.9673,24.2182,16.7925,8.76604,2.51412
4.20977,38.6932,23.9202,16.6598,8.65913,2.48971
4.22551,38.2853,23.7259,16.5258,8.61203,2.47386
4.24123,37.9716,23.5554,16.4016,8.55718,2.44995
4.25691,37.7766,23.3476,16.2469,8.46728,2.42915
4.27259,37.4117,23.1601,16.1235,8.38267,2.40833
4.28831,36.9664,22.9086,15.9495,8.31573,2.3898
4.30404,36.7298,22.6924,15.7722,8.22661,2.36594
4.31974,36.398,22.4818,15.695,8.17079,2.35047
4.33543,35.9925,22.2873,15.5014,8.09628,2.33026
4.35116,35.69,22.0943,15.3643,8.02603,2.32008
4.36688,35.4289,21.8779,15.2242,7.97013,2.30742
4.38255,35.0317,21.6561,15.1256,7.88519,2.28279
4.39825,34.8103,21.5454,14.9795,7.82967,2.26696
4.41398,34.4365,21.3331,14.8649,7.76353,2.25152
4.4297,34.2691,21.1324,14.6592,7.70672,2.23377
4.44541,33.9363,20.931,14.5942,7.62775,2.21296
4.46111,33.5692,20.7601,14.439,7.56172,2.20425
4.47683,33.3695,20.5633,14.3218,7.49884,2.18165
4.49251,32.9465,20.3469,14.1904,7.43521,2.16296
4.50819,32.7673,20.2465,14.0615,7.37743,2.15033
4.5239,32.4537,20.0486,13.9774,7.3061,2.12695
4.53962,32.1612,19.863,13.8425,7.26051,2.11842
4.55535,31.9253,19.717,13.7239,7.18863,2.09919
4.57106,31.5845,19.4746,13.5943,7.12888,2.08686
4.58678,31.3388,19.4272,13.4621,7.05387,2.06799
4.6025,31.0907,19.169,13.336,7.00259,2.05025
4.61821,30.8887,18.9928,13.2115,6.94768,2.04648
4.63391,30.5764,18.7981,13.1336,6.89646,2.02216
4.6496,30.371,18.6899,13.0117,6.83456,2.00936
4.66532,30.079,18.5636,12.9119,6.77076,1.99243
4.68103,29.7752,18.3794,12.7888,6.72426,1.97945
4.69673,29.5772,18.2284,12.6654,6.66669,1.96335
4.71241,29.2576,18.0125,12.5354,6.60964,1.94853
4.72811,29.0519,17.9129,12.452,6.53733,1.93858
4.74384,28.7491,17.7118,12.3753,6.50441,1.92827
4.75955,28.5232,17.5856,12.1967,6.44612,1.90258
4.77525,28.341,17.4532,12.1409,6.38613,1.89278
4.79096,28.0659,17.2964,12.0404,6.33563,1.87641
4.80669,27.8262,17.1551,11.9568,6.29367,1.86939
4.8224,27.7137,16.9928,11.8247,6.21826,1.84441
4.83809,27.3046,16.8645,11.7351,6.18436,1.83581
4.85379,27.1532,16.7291,11.617,6.12573,1.82925
4.8695,26.9103,16.574,11.5383,6.08023,1.81329
4.88521,26.7574,16.4497,11.4452,6.03609,1.79816
4.90093,26.5015,16.3102,11.3193,5.97318,1.78815
4.91663,26.3072,16.1557,11.2558,5.92656,1.77645
4.93234,26.0914,16.0473,11.1581,5.85786,1.76849
4.94807,25.8425,15.9116,11.0678,5.82655,1.74604
4.96377,25.6588,15.7875,10.9828,5.77788,1.73883
4.97943,25.47,15.65,10.8717,5.73806,1.71989
4.99514,25.2192,15.4829,10.7853,5.68081,1.71347
5.01086,25.0036,15.3884,10.7102,5.64967,1.69887
5.02654,24.8129,15.2519,10.6176,5.59754,1.68518
5.04227,24.6291,15.1387,10.5203,5.56269,1.67903
5.058,24.432,15.0564,10.4589,5.50941,1.66655
5.07371,24.2211,14.8552,10.3658,5.47203,1.65462
5.08942,24.0556,14.7346,10.269,5.42212,1.64584
5.10513,23.8359,14.6199,10.1747,5.36695,1.62552
5.12084,23.6282,14.4993,10.1073,5.33544,1.62016
5.13656,23.4799,14.3916,10.0195,5.29894,1.61123
5.15225,23.2724,14.2669,9.9113,5.25385,1.59636
5.16796,23.0498,14.1779,9.85538,5.21377,1.58284
5.18369,22.9116,14.0255,9.7916,5.16592,1.57638
5.1994,22.6849,13.9344,9.69842,5.13561,1.56232
5.21509,22.5299,13.8109,9.61673,5.09619,1.55853
5.23079,22.3674,13.6855,9.53774,5.05216,1.54553
5.24649,22.1953,13.6312,9.46178,4.99768,1.53026
5.26217,22.0427,13.5238,9.37951,4.96708,1.52459
5.27788,21.8256,13.3749,9.2931,4.92557,1.51009
5.29359,21.6907,13.2974,9.23408,4.87771,1.50075
5.30933,21.5151,13.1767,9.1537,4.84939,1.49271
5.32504,21.3221,13.0513,9.08587,4.80868,1.48208
5.34073,21.1694,12.9552,9.02148,4.77358,1.47342
5.35646,20.9658,12.8895,8.9508,4.73458,1.46414
5.37218,20.8147,12.7642,8.85586,4.69654,1.4526
5.38789,20.6555,12.6497,8.81664,4.66142,1.44513
5.40357,20.5348,12.5515,8.72646,4.6248,1.42994
5.41929,20.3779,12.4483,8.68404,4.5821,1.42144
5.43502,20.1676,12.375,8.609,4.56127,1.4142
5.4507,20.0653,12.2633,8.53343,4.51,1.40571
5.46639,19.8876,12.1691,8.46617,4.48429,1.39614
5.48212,19.7474,12.0899,8.41109,4.44788,1.38607
5.49786,19.5845,11.982,8.32576,4.41643,1.37522
5.51353,19.4203,11.8931,8.27503,4.38042,1.36659
5.52921,19.3051,11.811,8.19496,4.34175,1.35692
5.54495,19.1913,11.686,8.13737,4.30767,1.34801
5.56066,19.0174,11.6274,8.06685,4.27296,1.33952
5.57637,18.8357,11.5191,7.98825,4.23476,1.33182
5.59207,18.7258,11.444,7.93303,4.20579,1.32472
5.60778,18.5429,11.3459,7.87756,4.18463,1.31035
5.62346,18.4379,11.264,7.81942,4.13627,1.30986
5.63916,18.3128,11.1784,7.75879,4.11837,1.29428
5.65487,18.1233,11.1015,7.70618,4.08237,1.28482
5.6706,18.0246,11.0129,7.64689,4.05481,1.2779
5.68633,17.862,10.9376,7.58627,4.03122,1.27279
5.70203,17.7472,10.8556,7.52732,3.99272,1.26604
5.71773,17.6236,10.761,7.48123,3.96278,1.25604
5.73344,17.4584,10.6904,7.42334,3.93985,1.24644
5.74916,17.3475,10.6146,7.35677,3.91477,1.23752
5.76486,17.2305,10.5184,7.31629,3.8676,1.2293
5.78054,17.0671,10.4409,7.2557,3.8437,1.22204
5.79626,16.9676,10.384,7.1971,3.82467,1.21485
5.812,16.8481,10.264,7.13825,3.78763,1.20777
5.8277,16.7004,10.202,7.07674,3.76339,1.19859
5.84339,16.5658,10.1463,7.03692,3.72899,1.19236
5.85911,16.4707,10.0574,6.98488,3.70456,1.18249
5.87484,16.3145,9.97772,6.93937,3.67803,1.17138
5.89053,16.2049,9.89625,6.88032,3.64536,1.17049
5.90623,16.0757,9.85382,6.82681,3.6261,1.1616
5.92195,15.9722,9.75728,6.78239,3.5973,1.15692
5.93767,15.848,9.6941,6.72628,3.56163,1.14579
5.95336,15.7459,9.62413,6.67446,3.54083,1.13842
5.96905,15.6435,9.54003,6.61938,3.51105,1.13267
5.98476,15.5126,9.48034,6.59134,3.50173,1.12552
6.00048,15.3838,9.40279,6.51565,3.46669,1.11588
6.01617,15.2687,9.32698,6.49978,3.44031,1.10944
6.03185,15.1733,9.26115,6.44157,3.41192,1.10296
6.04756,15.0502,9.18826,6.38238,3.38756,1.09758
6.06331,14.9918,9.1319,6.33712,3.36484,1.08896
6.07903,14.8408,9.05772,6.2962,3.34165,1.08258
6.09473,14.7564,8.98804,6.25125,3.31928,1.07575
6.11044,14.6507,8.92033,6.20689,3.29323,1.06949
6.12616,14.5187,8.84662,6.15873,3.27409,1.06425
6.14186,14.4168,8.81224,6.11253,3.25514,1.05672
6.15755,14.3161,8.71192,6.07221,3.21984,1.04882
6.17326,14.2536,8.6852,6.0253,3.19751,1.04386
6.18898,14.138,8.60836,5.97688,3.17983,1.03549
6.20467,14.0143,8.53309,5.93861,3.14729,1.03132
6.22036,13.9288,8.48025,5.89089,3.13128,1.02436
6.2361,13.8244,8.42486,5.86102,3.11111,1.01711
6.2518,13.7185,8.3596,5.81628,3.08589,1.00909
6.26748,13.609,8.30984,5.76971,3.06636,1.00495
6.28319,13.5434,8.2429,5.73232,3.04271,0.999628
6.29893,13.4149,8.18785,5.68949,3.01696,0.993346
6.31463,13.3256,8.12568,5.64615,2.99868,0.986342
6.33033,13.2389,8.06671,5.60769,2.97576,0.979944
6.34604,13.1813,8.01492,5.56134,2.95427,0.974069
6.36177,13.031,7.95496,5.53615,2.93151,0.969199
6.37747,12.9701,7.89839,5.48337,2.91725,0.962989
6.39316,12.8825,7.83008,5.44651,2.89552,0.955947
6.40888,12.7832,7.78401,5.42139,2.87619,0.951606
6.4246,12.6821,7.73508,5.36716,2.85792,0.947311
6.44031,12.6129,7.67812,5.32975,2.82907,0.940723
6.45601,12.4998,7.6196,5.29564,2.81115,0.933587
6.47172,12.4163,7.57162,5.26059,2.79643,0.929653
6.48744,12.3315,7.52727,5.22201,2.77336,0.919901
6.50313,12.2651,7.47436,5.18368,2.74361,0.916784
6.51882,12.1783,7.40652,5.15028,2.73205,0.912866
6.53452,12.0618,7.35786,5.11292,2.71207,0.903416
6.55025,11.9986,7.3181,5.08238,2.69266,0.900084
6.56597,11.9182,7.2616,5.04611,2.67671,0.896854
6.58166,11.8489,7.20975,5.01491,2.65859,0.889731
6.59736,11.7325,7.1653,4.9796,2.63676,0.883653
6.61307,11.6716,7.11096,4.93701,2.62459,0.876313
6.6288,11.5882,7.06261,4.90262,2.60342,0.875
