# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.03856e-05 to 223.529 h/Mpc,
# number of wavenumbers equal to 388
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:t_g                   10:t_b                   11:t_cdm                 12:t_ur                  13:t_tot              
       2.860429810320e-03      -2.367854785217e+00      -2.016861487004e+00      -2.019256017064e+00      -2.337707353004e+00      -2.028728679257e+00       5.896580994113e-01       5.809096370074e-01       4.438918902719e-04       1.113499826017e-03       1.114251448716e-03       4.218254367196e-04       1.087890602133e-03 
       2.995237714082e-03      -2.415820025129e+00      -2.097384957252e+00      -2.100264184500e+00      -2.380977745781e+00      -2.108639963884e+00       5.876748473880e-01       5.794618309515e-01       4.317666417673e-04       1.218636008152e-03       1.219538782238e-03       4.081639016989e-04       1.188594958506e-03 
       3.136398918614e-03      -2.463288090562e+00      -2.185317127450e+00      -2.188771923465e+00      -2.423197691464e+00      -2.195796397376e+00       5.855408386249e-01       5.778909841532e-01       4.108569949437e-04       1.333474009962e-03       1.334554969086e-03       3.861439652959e-04       1.298315674782e-03 
       3.284212845757e-03      -2.509513893927e+00      -2.281293924626e+00      -2.285446571199e+00      -2.463595301301e+00      -2.290818899739e+00       5.832472184707e-01       5.761869630071e-01       3.797094636455e-04       1.458856961662e-03       1.460154431554e-03       3.545530886012e-04       1.417820141049e-03 
       3.438993028667e-03      -2.553596823745e+00      -2.386016482623e+00      -2.391005358407e+00      -2.501284842659e+00      -2.394375103714e+00       5.807872838055e-01       5.743412178605e-01       3.368421784345e-04       1.595707025692e-03       1.597262989275e-03       3.122247689296e-04       1.547945619352e-03 
       3.601067776866e-03      -2.594503560931e+00      -2.500238624737e+00      -2.506223030848e+00      -2.535274248269e+00      -2.507184176105e+00       5.781548163589e-01       5.723449124066e-01       2.808074980639e-04       1.745017003269e-03       1.746878738392e-03       2.581058186633e-04       1.689601184919e-03 
       3.770780872622e-03      -2.631089836503e+00      -2.624750397105e+00      -2.631938428800e+00      -2.564475358223e+00      -2.630020199854e+00       5.753423094985e-01       5.701870583731e-01       2.102622845295e-04       1.907838801027e-03       1.910070343948e-03       1.913421869452e-04       1.843767564625e-03 
       3.948492300167e-03      -2.662060086761e+00      -2.760423573943e+00      -2.769050771593e+00      -2.587724010663e+00      -2.763715594643e+00       5.723454758187e-01       5.678589877103e-01       1.241165366466e-04       2.085320991101e-03       2.087992578574e-03       1.114275028185e-04       2.011521129974e-03 
       4.134579009264e-03      -2.686033548409e+00      -2.908172353165e+00      -2.918530160899e+00      -2.603811626727e+00      -2.909165260759e+00       5.691593535485e-01       5.653503272088e-01       2.165163763416e-05       2.278679402928e-03       2.281878892340e-03       1.832815354851e-05       2.194028117671e-03 
       4.329435714772e-03      -2.701549179819e+00      -3.068982627500e+00      -3.081417279142e+00      -2.611531734061e+00      -3.067331424855e+00       5.657811382560e-01       5.626517850441e-01      -9.727269334867e-05       2.489221852119e-03       2.493052846542e-03      -8.732785341933e-05       2.392565327910e-03 
